Gen 1: best_this_gen = 32.00, mean_this_gen = 15.20, genome = [0.8764, 0.5127, 0.6554, 0.4868, 0.211, 0.9429]
Gen 71: best_this_gen = 9605.00, mean_this_gen = 963.36, genome = [0.7994, 0.0163, 0.3042, 0.0321, 0.0, 0.983]
Gen 72: best_this_gen = 2100.00, mean_this_gen = 527.96, genome = [0.7994, 0.0163, 0.3042, 0.0657, 0.0, 1.0]
Gen 73: best_this_gen = 2180.00, mean_this_gen = 573.92, genome = [0.7994, 0.0163, 0.3042, 0.0657, 0.0, 1.0]
Gen 74: best_this_gen = 1899.00, mean_this_gen = 524.56, genome = [0.9146, 0.0, 0.2349, 0.2646, 0.0, 1.0]
Gen 75: best_this_gen = 2076.00, mean_this_gen = 336.28, genome = [0.7994, 0.0, 0.2475, 0.1248, 0.0, 1.0]
Gen 76: best_this_gen = 3427.00, mean_this_gen = 862.60, genome = [0.7069, 0.0, 0.3042, 0.5594, 0.0, 1.0]
Gen 77: best_this_gen = 3490.00, mean_this_gen = 668.08, genome = [1.0, 0.0, 0.2475, 0.1248, 0.0, 1.0]
Gen 78: best_this_gen = 3653.00, mean_this_gen = 885.28, genome = [0.8334, 0.0, 0.1716, 0.0242, 0.0, 1.0]
Gen 79: best_this_gen = 5770.00, mean_this_gen = 1069.00, genome = [0.9628, 0.0, 0.2475, 0.4011, 0.0, 0.9276]
Gen 80: best_this_gen = 2962.00, mean_this_gen = 761.52, genome = [0.7279, 0.0, 0.2475, 0.4011, 0.0, 0.9012]
Gen 81: best_this_gen = 1853.00, mean_this_gen = 563.16, genome = [0.8334, 0.0, 0.1664, 0.0601, 0.0, 0.91]
Gen 82: best_this_gen = 3171.00, mean_this_gen = 856.52, genome = [0.9418, 0.0, 0.1664, 0.0601, 0.0, 0.91]
Gen 83: best_this_gen = 3074.00, mean_this_gen = 562.96, genome = [0.9418, 0.0, 0.1664, 0.0601, 0.0, 0.91]
Gen 84: best_this_gen = 1971.00, mean_this_gen = 655.80, genome = [0.8277, 0.0, 0.1343, 0.0601, 0.0, 0.91]
Gen 85: best_this_gen = 3987.00, mean_this_gen = 728.64, genome = [0.4372, 0.0, 0.2349, 0.0242, 0.0, 0.91]
Gen 86: best_this_gen = 5785.00, mean_this_gen = 728.56, genome = [0.4372, 0.0, 0.2349, 0.0242, 0.0, 0.91]
Gen 87: best_this_gen = 4957.00, mean_this_gen = 1100.60, genome = [0.7189, 0.0, 0.2349, 0.0242, 0.0, 0.91]
Gen 88: best_this_gen = 4152.00, mean_this_gen = 745.64, genome = [0.904, 0.0, 0.2925, 0.1396, 0.0, 0.4913]
Gen 89: best_this_gen = 3163.00, mean_this_gen = 948.84, genome = [0.8334, 0.0, 0.2349, 0.1741, 0.0, 0.8713]
Gen 90: best_this_gen = 4015.00, mean_this_gen = 929.72, genome = [1.0, 0.0, 0.249, 0.1741, 0.0, 0.7976]
Gen 91: best_this_gen = 2897.00, mean_this_gen = 677.84, genome = [0.8334, 0.0, 0.2349, 0.1741, 0.0, 0.7976]
Gen 92: best_this_gen = 2616.00, mean_this_gen = 547.32, genome = [0.9503, 0.0, 0.2925, 0.0258, 0.0, 1.0]
Gen 93: best_this_gen = 3278.00, mean_this_gen = 596.20, genome = [0.9503, 0.0, 0.2925, 0.0258, 0.0, 1.0]
Gen 94: best_this_gen = 2401.00, mean_this_gen = 540.12, genome = [0.7145, 0.0, 0.2349, 0.1544, 0.0, 0.8186]
Gen 95: best_this_gen = 5511.00, mean_this_gen = 587.44, genome = [0.711, 0.0, 0.2349, 0.1544, 0.0, 1.0]
Gen 96: best_this_gen = 2604.00, mean_this_gen = 513.56, genome = [0.7145, 0.0, 0.2349, 0.1544, 0.0, 1.0]
Gen 97: best_this_gen = 3641.00, mean_this_gen = 535.60, genome = [0.6607, 0.0, 0.2349, 0.0552, 0.0, 0.8217]
Gen 98: best_this_gen = 3171.00, mean_this_gen = 553.00, genome = [0.6607, 0.0, 0.2349, 0.0552, 0.0, 0.8217]
Gen 99: best_this_gen = 4145.00, mean_this_gen = 709.72, genome = [0.6075, 0.0, 0.2349, 0.0361, 0.0, 0.6752]
Gen 100: best_this_gen = 5135.00, mean_this_gen = 675.00, genome = [0.7145, 0.0, 0.2349, 0.0583, 0.0, 1.0]

Best ever fitness = 9605.00, genome = [0.7994, 0.0163, 0.3042, 0.0321, 0.0, 0.983]
[tournament] Best ever: fitness=9605.00, genome=[0.7994, 0.0163, 0.3042, 0.0321, 0.0, 0.983]
