Gen 1: best_this_gen = 24.00, mean_this_gen = 15.20, genome = [0.6685, 0.6091, 0.1711, 0.7291, 0.1634, 0.8103]
Gen 61: best_this_gen = 1797.00, mean_this_gen = 741.80, genome = [0.4832, 0.0, 0.1772, 1.0, 0.0, 0.7123]
Gen 62: best_this_gen = 4382.00, mean_this_gen = 696.28, genome = [0.6431, 0.0, 0.1543, 0.5783, 0.0, 0.454]
Gen 63: best_this_gen = 1673.00, mean_this_gen = 437.96, genome = [0.3949, 0.01, 0.1772, 1.0, 0.0, 1.0]
Gen 64: best_this_gen = 2589.00, mean_this_gen = 754.40, genome = [0.7714, 0.01, 0.1772, 1.0, 0.0, 0.8545]
Gen 65: best_this_gen = 3892.00, mean_this_gen = 622.80, genome = [0.9511, 0.0, 0.2448, 0.5403, 0.0, 0.6295]
Gen 66: best_this_gen = 3571.00, mean_this_gen = 666.12, genome = [0.4305, 0.0024, 0.1772, 1.0, 0.0, 1.0]
Gen 67: best_this_gen = 3573.00, mean_this_gen = 543.08, genome = [0.4305, 0.0024, 0.1772, 0.5403, 0.0, 0.6295]
Gen 68: best_this_gen = 1763.00, mean_this_gen = 464.60, genome = [0.8619, 0.0, 0.1772, 1.0, 0.0, 1.0]
Gen 69: best_this_gen = 3028.00, mean_this_gen = 679.64, genome = [0.8619, 0.0, 0.1782, 1.0, 0.0, 0.3867]
Gen 70: best_this_gen = 2363.00, mean_this_gen = 449.80, genome = [0.4305, 0.0024, 0.1772, 0.5403, 0.0, 0.8424]
Gen 71: best_this_gen = 1267.00, mean_this_gen = 466.08, genome = [0.4305, 0.0024, 0.1772, 0.5403, 0.0, 0.8424]
Gen 72: best_this_gen = 2054.00, mean_this_gen = 427.72, genome = [0.6263, 0.0, 0.1772, 0.5403, 0.0, 0.8424]
Gen 73: best_this_gen = 5385.00, mean_this_gen = 995.84, genome = [0.5712, 0.0024, 0.1772, 0.5403, 0.0, 0.8424]
Gen 74: best_this_gen = 2807.00, mean_this_gen = 597.80, genome = [0.6263, 0.0, 0.1709, 0.1508, 0.0, 0.8424]
Gen 75: best_this_gen = 2411.00, mean_this_gen = 665.04, genome = [0.2646, 0.0024, 0.1709, 0.1508, 0.0, 0.8424]
Gen 76: best_this_gen = 1597.00, mean_this_gen = 367.76, genome = [0.5418, 0.0, 0.1772, 0.5403, 0.0, 0.9167]
Gen 77: best_this_gen = 2062.00, mean_this_gen = 517.96, genome = [1.0, 0.0, 0.1772, 0.4707, 0.0, 0.565]
Gen 78: best_this_gen = 1985.00, mean_this_gen = 442.92, genome = [0.2836, 0.0, 0.1772, 0.4707, 0.0, 0.8424]
Gen 79: best_this_gen = 2683.00, mean_this_gen = 656.20, genome = [0.5418, 0.0, 0.1772, 0.4707, 0.0, 0.565]
Gen 80: best_this_gen = 4068.00, mean_this_gen = 713.92, genome = [0.2836, 0.0, 0.1772, 0.9344, 0.0, 1.0]
Gen 81: best_this_gen = 2582.00, mean_this_gen = 648.36, genome = [0.2836, 0.0, 0.1772, 0.6007, 0.0, 0.8424]
Gen 82: best_this_gen = 3151.00, mean_this_gen = 621.40, genome = [0.5418, 0.0, 0.1772, 0.4707, 0.0, 0.8424]
Gen 83: best_this_gen = 1774.00, mean_this_gen = 541.48, genome = [0.5418, 0.0, 0.1772, 0.9344, 0.0, 1.0]
Gen 84: best_this_gen = 3482.00, mean_this_gen = 647.44, genome = [0.5418, 0.0, 0.1772, 0.4707, 0.0, 0.4525]
Gen 85: best_this_gen = 4419.00, mean_this_gen = 886.04, genome = [0.512, 0.0, 0.1772, 0.4707, 0.0, 0.6696]
Gen 86: best_this_gen = 1496.00, mean_this_gen = 375.60, genome = [0.2836, 0.0, 0.1772, 0.4707, 0.0, 1.0]
Gen 87: best_this_gen = 1649.00, mean_this_gen = 512.76, genome = [0.3878, 0.0, 0.1772, 0.9344, 0.0, 0.6491]
Gen 88: best_this_gen = 5717.00, mean_this_gen = 782.24, genome = [0.3878, 0.0, 0.1772, 0.5808, 0.0, 0.6491]
Gen 89: best_this_gen = 1917.00, mean_this_gen = 473.84, genome = [0.273, 0.0, 0.1772, 0.5808, 0.0, 0.6491]
Gen 90: best_this_gen = 1301.00, mean_this_gen = 357.24, genome = [0.4427, 0.0501, 0.1772, 0.3272, 0.0, 1.0]
Gen 91: best_this_gen = 3538.00, mean_this_gen = 677.24, genome = [0.2836, 0.0, 0.1772, 0.524, 0.0, 0.6491]
Gen 92: best_this_gen = 2088.00, mean_this_gen = 583.16, genome = [0.2836, 0.0, 0.1772, 0.524, 0.0, 0.6491]
Gen 93: best_this_gen = 3286.00, mean_this_gen = 513.32, genome = [0.2836, 0.0, 0.1772, 0.728, 0.0, 1.0]
Gen 94: best_this_gen = 3771.00, mean_this_gen = 856.64, genome = [0.4427, 0.0, 0.1772, 0.524, 0.0, 0.7754]
Gen 95: best_this_gen = 4031.00, mean_this_gen = 672.64, genome = [0.4427, 0.0, 0.1772, 0.524, 0.0, 0.7754]
Gen 96: best_this_gen = 1979.00, mean_this_gen = 500.88, genome = [0.4427, 0.0, 0.1772, 0.3668, 0.0, 0.7754]
Gen 97: best_this_gen = 4981.00, mean_this_gen = 600.16, genome = [0.7159, 0.0, 0.2511, 0.8174, 0.0, 0.8148]
Gen 98: best_this_gen = 2786.00, mean_this_gen = 537.68, genome = [0.5853, 0.0, 0.2511, 0.49, 0.0, 0.7761]
Gen 99: best_this_gen = 1653.00, mean_this_gen = 571.48, genome = [0.7159, 0.0, 0.2511, 0.8174, 0.0, 0.9355]
Gen 100: best_this_gen = 3999.00, mean_this_gen = 897.52, genome = [0.7159, 0.0, 0.2654, 0.7471, 0.0, 1.0]


Best ever fitness = 7654.00, genome = [0.9177, 0.0, 0.3171, 1.0, 0.0, 1.0]
[roulette] Best ever: fitness=7654.00, genome=[0.9177, 0.0, 0.3171, 1.0, 0.0, 1.0]
===============================================================================================================
